filiere,type_ecole,ville,moyenne,stages,niveau_francais,niveau_anglais,niveau_programmation,niveau_algorithme,projets,certifications,participation_hackathon,open_source_contributions,soft_skills,linkedin_profile,recrute,salaire_estime_dh
Réseaux & Télécoms,EST,Marrakech,17.55,0,4,3,6,8,4,1,0,1,6,1,0,0
Développement Web,FST,Agadir,15.55,1,10,3,6,5,7,1,0,0,6,1,0,0
Data Science,Privée (EMSI/IGA),Agadir,17.52,4,9,6,10,3,7,2,1,0,4,0,1,12500
Développement Web,ENSA,Agadir,14.44,0,5,7,4,9,1,3,1,0,5,1,0,0
Développement Web,Faculté (FS),Marrakech,14.8,3,5,7,7,7,2,0,0,0,5,1,0,0
GINF,ENSA,Marrakech,17.82,3,6,10,5,7,3,3,0,1,9,0,1,13200
Data Science,EST,Rabat,15.14,3,10,6,7,8,5,0,1,0,7,1,1,9200
Data Science,OFPPT,Tanger,10.25,1,10,7,3,4,3,2,1,0,5,0,0,0
Data Science,FST,Agadir,15.79,0,6,9,7,5,5,1,1,0,10,1,0,0
Développement Web,Privée (EMSI/IGA),Fès,17.24,0,5,9,10,4,3,1,0,0,6,1,0,0
Réseaux & Télécoms,Faculté (FS),Rabat,16.36,3,9,7,5,3,1,0,0,0,8,1,0,0
Data Science,EST,Rabat,14.67,2,10,9,4,4,3,3,0,0,7,0,0,0
Cybersécurité,ENSA,Casablanca,15.37,3,6,10,3,9,6,2,0,0,9,0,1,13300
Développement Web,EST,Agadir,17.92,1,5,5,7,3,4,2,0,0,4,1,0,0
GINF,EST,Kenitra,10.73,3,9,7,6,9,7,3,1,1,5,1,1,10100
Réseaux & Télécoms,ENSA,Rabat,15.34,3,7,9,10,10,1,1,1,0,9,1,1,12700
Cybersécurité,EST,Casablanca,12.27,0,8,3,5,4,6,3,0,0,8,1,0,0
Cybersécurité,FST,Fès,15.12,3,10,5,4,7,3,1,0,0,6,1,0,0
GINF,OFPPT,Fès,14.86,4,7,3,8,5,1,0,0,0,4,1,0,0
Réseaux & Télécoms,Faculté (FS),Kenitra,11.23,4,7,3,10,4,4,2,0,0,4,1,0,0
Développement Web,OFPPT,Agadir,11.65,2,8,9,5,8,1,0,1,0,5,0,0,0
GI,ENSA,Marrakech,14.97,1,5,9,7,9,3,3,0,0,10,1,0,0
Réseaux & Télécoms,ENSA,Casablanca,11.03,1,5,6,9,3,1,3,0,0,8,1,0,0
GINF,Faculté (FS),Marrakech,12.12,0,6,8,4,9,5,0,0,0,6,1,0,0
Cybersécurité,FST,Fès,16.68,1,4,7,6,8,0,3,1,1,6,1,0,0
Développement Web,ENSA,Fès,12.62,2,5,7,3,5,7,3,0,0,6,0,0,0
Réseaux & Télécoms,OFPPT,Tanger,13.9,4,8,7,7,10,3,3,0,1,6,1,1,10100
GI,OFPPT,Tanger,17.53,0,4,7,4,8,4,2,0,1,5,1,0,0
GI,FST,Kenitra,11.82,4,8,9,3,7,2,2,1,0,9,0,1,11600
Data Science,ENSA,Tanger,13.12,2,8,5,9,10,1,1,0,1,9,1,1,10900
Data Science,OFPPT,Tanger,14.85,0,8,4,4,9,5,2,1,0,9,1,0,0
GINF,Faculté (FS),Kenitra,16.04,3,10,3,8,7,1,0,0,0,5,1,0,0
Réseaux & Télécoms,OFPPT,Rabat,17.21,1,10,8,7,6,7,0,0,0,8,1,1,8100
Réseaux & Télécoms,OFPPT,Tanger,17.32,2,4,10,4,5,3,2,0,0,10,1,0,0
Cybersécurité,OFPPT,Rabat,16.21,0,7,8,6,10,5,0,0,0,7,0,0,0
Cybersécurité,FST,Rabat,11.83,4,10,4,9,4,3,3,1,0,5,1,0,0
Cybersécurité,ENSA,Agadir,10.2,0,9,10,4,7,0,2,1,0,6,0,0,0
Data Science,Faculté (FS),Rabat,13.07,3,8,10,10,10,4,1,0,0,9,1,1,10900
Réseaux & Télécoms,Faculté (FS),Rabat,11.13,2,10,4,7,4,7,1,0,0,9,0,0,0
Réseaux & Télécoms,OFPPT,Tanger,15.68,0,6,10,4,9,5,2,1,0,8,0,1,7800
GI,ENSA,Rabat,15.29,2,5,4,10,4,5,0,0,0,6,1,0,0
Data Science,ENSA,Marrakech,10.35,2,9,9,3,9,1,2,0,0,5,1,0,0
Développement Web,OFPPT,Kenitra,16.69,4,5,5,10,3,1,2,0,0,9,1,0,0
Data Science,OFPPT,Tanger,11.99,1,5,4,3,8,7,1,1,1,8,0,0,0
Développement Web,Privée (EMSI/IGA),Kenitra,13.46,3,4,10,9,4,2,3,0,0,10,1,0,0
GI,OFPPT,Casablanca,15.34,0,6,10,8,9,6,3,0,0,6,1,1,9200
GINF,Faculté (FS),Tanger,13.44,1,6,5,5,6,5,2,0,0,9,1,0,0
Réseaux & Télécoms,Faculté (FS),Rabat,13.53,4,9,9,9,5,1,1,0,0,7,0,1,11200
GI,OFPPT,Marrakech,10.53,1,6,6,8,10,1,1,0,0,4,0,0,0
Réseaux & Télécoms,Faculté (FS),Kenitra,13.21,2,6,10,9,5,6,2,1,0,4,1,1,9800
Cybersécurité,Faculté (FS),Tanger,16.12,2,6,10,5,3,0,2,1,0,9,0,0,0
GINF,ENSA,Marrakech,17.32,3,9,6,6,6,2,2,0,0,6,1,0,0
GINF,FST,Kenitra,13.31,0,7,8,3,8,7,3,0,0,9,1,1,9800
GI,OFPPT,Casablanca,13.39,0,6,6,5,6,6,2,0,0,10,0,0,0
GINF,EST,Fès,15.62,4,10,5,4,9,7,1,0,0,4,0,0,0
Développement Web,ENSA,Casablanca,17.54,3,6,5,6,5,1,2,0,0,9,1,1,12300
GINF,EST,Fès,12.14,0,4,3,7,6,7,1,1,0,9,1,0,0
Réseaux & Télécoms,ENSA,Agadir,13.52,2,4,10,5,8,1,1,0,0,7,1,1,11400
Réseaux & Télécoms,ENSA,Fès,16.37,3,10,4,9,7,4,0,0,1,9,1,1,10800
Réseaux & Télécoms,FST,Agadir,14.88,1,6,7,8,4,5,1,0,1,10,1,1,9800
Réseaux & Télécoms,Privée (EMSI/IGA),Tanger,10.88,3,7,7,5,10,1,0,0,0,7,0,1,11400
Développement Web,FST,Agadir,15.02,3,6,4,8,9,0,2,0,0,6,1,1,10100
Data Science,ENSA,Marrakech,11.49,0,10,7,9,4,1,0,0,0,7,1,0,0
Cybersécurité,ENSA,Agadir,14.08,4,6,7,9,5,5,3,0,0,4,1,1,12600
GI,Faculté (FS),Marrakech,14.23,4,6,9,8,5,1,3,0,0,6,1,0,0
Réseaux & Télécoms,EST,Kenitra,17.01,0,8,7,3,8,6,3,1,0,10,1,1,8100
GINF,OFPPT,Kenitra,13.7,0,7,8,6,6,3,2,0,0,9,1,0,0
Réseaux & Télécoms,Faculté (FS),Fès,12.24,0,5,10,8,8,1,1,0,0,4,0,0,0
GINF,OFPPT,Fès,11.85,4,10,10,3,3,2,3,1,1,7,0,0,0
Cybersécurité,EST,Fès,16.99,0,6,10,3,5,5,0,0,0,7,1,0,0
Cybersécurité,Faculté (FS),Agadir,11.37,1,10,5,8,9,7,2,0,1,8,0,0,0
Cybersécurité,EST,Fès,13.41,1,5,5,6,10,5,2,0,1,5,1,1,8300
GINF,Privée (EMSI/IGA),Agadir,11.5,2,7,5,4,9,3,0,0,0,10,1,0,0
Réseaux & Télécoms,Faculté (FS),Agadir,16.19,1,10,4,9,5,2,0,0,0,10,0,0,0
Cybersécurité,EST,Rabat,13.79,3,6,6,5,5,2,2,1,0,9,0,0,0
Développement Web,EST,Rabat,12.81,2,5,8,3,8,5,2,0,0,5,1,1,9900
GINF,ENSA,Agadir,12.89,1,10,8,5,9,0,1,0,0,6,0,0,0
GINF,Faculté (FS),Kenitra,16.82,3,9,7,6,8,7,2,0,0,4,1,0,0
Réseaux & Télécoms,ENSA,Marrakech,14.43,1,5,10,4,6,1,0,0,1,5,1,0,0
GINF,Faculté (FS),Tanger,15.74,3,7,3,10,7,2,2,0,1,6,0,1,9400
GINF,EST,Casablanca,17.18,0,6,5,7,5,1,2,0,0,7,0,0,0
Cybersécurité,Faculté (FS),Rabat,17.21,3,8,9,9,7,7,0,0,0,5,1,1,10300
Réseaux & Télécoms,OFPPT,Agadir,12.63,0,7,8,9,8,1,1,0,0,4,1,0,0
Cybersécurité,OFPPT,Casablanca,17.62,3,8,8,4,10,7,2,0,0,8,1,1,9900
Cybersécurité,OFPPT,Rabat,10.2,3,6,3,10,6,6,3,0,0,10,0,0,0
Réseaux & Télécoms,ENSA,Tanger,13.01,1,5,7,6,8,0,3,0,0,8,1,1,11100
GI,ENSA,Marrakech,17.17,3,9,8,4,3,0,0,0,0,5,1,0,0
Cybersécurité,Faculté (FS),Agadir,12.2,1,9,10,9,9,2,0,0,0,8,1,1,8500
Développement Web,EST,Tanger,12.18,3,10,8,7,4,2,0,0,0,6,0,0,0
Développement Web,FST,Kenitra,12.42,4,7,6,3,4,5,3,1,0,9,1,0,0
GINF,ENSA,Rabat,14.9,2,7,3,4,8,6,0,0,1,4,0,0,0
Développement Web,EST,Agadir,13.51,1,7,9,8,4,6,3,1,0,7,1,1,9000
GINF,ENSA,Casablanca,15.81,1,4,9,8,4,3,1,1,0,4,1,0,0
GI,OFPPT,Kenitra,17.16,0,9,7,6,6,1,0,0,0,7,1,0,0
Réseaux & Télécoms,ENSA,Kenitra,15.39,4,9,7,9,4,7,2,0,1,8,1,1,12700
Réseaux & Télécoms,Faculté (FS),Fès,11.64,0,6,5,9,6,5,1,1,0,6,1,0,0
Réseaux & Télécoms,ENSA,Marrakech,17.46,4,4,6,4,3,1,3,0,1,7,1,0,0
Développement Web,Faculté (FS),Kenitra,12.12,4,7,7,7,5,0,0,0,0,10,0,0,0
GI,EST,Rabat,11.2,3,7,10,6,10,0,2,1,0,8,1,1,10800
Développement Web,OFPPT,Marrakech,10.72,0,8,6,4,5,6,3,0,0,7,1,0,0
Développement Web,OFPPT,Agadir,14.51,2,10,5,6,5,5,1,0,0,5,1,1,7400
GI,EST,Fès,10.91,4,4,10,8,9,2,2,1,0,4,0,1,10300
GI,Privée (EMSI/IGA),Tanger,11.11,4,10,9,10,6,3,1,0,0,9,1,1,12700
GI,Privée (EMSI/IGA),Marrakech,12.4,1,5,3,7,6,6,0,1,0,9,0,0,0
GI,OFPPT,Casablanca,12.25,3,10,8,3,6,3,2,0,0,6,1,0,0
Réseaux & Télécoms,OFPPT,Rabat,14.83,2,9,8,7,3,0,0,0,1,8,1,1,9100
Data Science,ENSA,Casablanca,16.53,4,6,4,3,10,0,3,1,0,6,1,0,0
Data Science,Faculté (FS),Marrakech,16.09,1,5,4,9,7,3,3,0,1,4,0,0,0
GI,ENSA,Fès,12.1,0,5,4,5,6,3,1,0,0,9,1,0,0
Data Science,ENSA,Tanger,11.96,4,6,8,10,6,7,0,0,0,7,0,1,11600
Data Science,Privée (EMSI/IGA),Tanger,17.73,1,7,6,8,5,2,0,0,1,7,0,0,0
GI,EST,Casablanca,10.07,0,9,10,9,8,3,2,1,0,6,0,1,9300
Data Science,OFPPT,Agadir,17.04,3,8,4,8,9,1,3,0,1,7,1,1,9000
Développement Web,OFPPT,Agadir,11.6,0,7,3,10,10,3,0,0,0,7,1,1,5600
GINF,OFPPT,Fès,17.58,4,10,7,8,4,4,0,0,0,10,0,1,8400
GINF,Privée (EMSI/IGA),Tanger,12.74,2,7,10,7,4,3,0,0,0,10,1,1,11500
GI,ENSA,Casablanca,13.52,0,4,6,3,3,0,3,0,1,7,0,0,0
Réseaux & Télécoms,ENSA,Casablanca,15.66,2,5,8,5,4,0,3,0,1,5,1,0,0
GI,FST,Casablanca,14.7,2,5,3,10,7,6,3,0,0,10,1,1,10800
Réseaux & Télécoms,ENSA,Marrakech,12.54,0,9,9,5,5,7,1,0,0,8,1,0,0
GINF,ENSA,Fès,14.43,3,10,8,5,3,4,3,0,0,8,1,1,12300
GI,EST,Agadir,15.85,0,5,6,9,10,1,3,1,0,9,0,0,0
Cybersécurité,OFPPT,Agadir,10.34,1,8,6,6,4,3,3,0,0,10,1,0,0
Développement Web,Faculté (FS),Marrakech,10.09,2,8,6,7,10,3,2,1,0,4,1,0,0
Data Science,EST,Rabat,13.66,4,10,5,7,4,4,2,1,0,7,0,1,10300
Réseaux & Télécoms,Faculté (FS),Marrakech,11.05,2,8,7,9,8,6,0,0,0,6,0,0,0
Cybersécurité,ENSA,Fès,15.31,4,6,10,8,5,2,2,1,0,7,0,1,12800
Data Science,ENSA,Casablanca,11.71,1,10,4,7,3,7,1,0,0,4,1,0,0
Data Science,OFPPT,Marrakech,13.46,1,9,5,7,5,7,1,1,0,7,1,1,6900
GI,Faculté (FS),Casablanca,11.58,1,8,7,6,3,2,0,0,0,5,0,0,0
Data Science,OFPPT,Fès,14.39,0,4,8,7,9,6,0,0,0,4,0,0,0
Développement Web,ENSA,Kenitra,10.93,2,4,4,3,9,1,1,1,0,8,0,0,0
Cybersécurité,OFPPT,Fès,10.18,4,7,9,9,4,3,1,1,0,8,1,1,9200
Data Science,Faculté (FS),Tanger,10.41,1,7,5,5,5,3,1,0,0,5,0,0,0
GI,Faculté (FS),Casablanca,17.63,1,9,5,6,5,3,0,0,0,8,0,0,0
Développement Web,Faculté (FS),Agadir,11.14,4,10,10,6,7,6,1,1,0,9,0,1,10400
GINF,OFPPT,Marrakech,15.67,2,7,3,8,9,0,0,0,1,5,1,0,0
Cybersécurité,Faculté (FS),Kenitra,10.54,2,7,10,7,8,5,1,0,0,8,1,1,9400
Data Science,Faculté (FS),Fès,10.87,4,4,9,5,5,2,1,0,0,10,1,0,0
GI,Privée (EMSI/IGA),Casablanca,14.07,3,7,9,9,10,6,2,1,0,8,0,1,13600
GINF,OFPPT,Kenitra,13.72,2,4,5,3,10,5,1,1,0,9,1,0,0
GINF,FST,Rabat,17.61,4,8,6,10,3,7,0,1,0,7,0,1,11200
Réseaux & Télécoms,OFPPT,Tanger,17.56,4,8,8,9,7,4,1,0,0,10,0,1,9000
Développement Web,EST,Rabat,16.24,1,9,9,10,10,5,3,0,0,4,1,1,10000
Data Science,ENSA,Fès,14.82,4,6,10,5,5,0,2,0,0,8,1,1,12800
GI,Faculté (FS),Rabat,13.64,0,7,5,9,5,7,1,1,1,4,1,1,8900
Réseaux & Télécoms,Privée (EMSI/IGA),Rabat,12.85,1,8,6,4,7,0,1,0,0,4,1,0,0
Développement Web,Privée (EMSI/IGA),Tanger,17.58,1,8,7,5,4,7,3,0,1,8,1,0,0
Réseaux & Télécoms,EST,Tanger,14.82,2,10,7,3,5,2,3,0,0,10,1,0,0
Cybersécurité,FST,Tanger,14.63,3,9,10,3,6,3,3,0,0,4,0,0,0
Développement Web,ENSA,Kenitra,11.86,2,5,9,3,8,1,3,0,0,9,1,0,0
Développement Web,Privée (EMSI/IGA),Tanger,10.37,0,5,6,6,4,5,3,0,0,5,1,0,0
Data Science,Privée (EMSI/IGA),Rabat,17.56,1,9,3,9,5,7,3,1,0,10,0,1,11800
Développement Web,Faculté (FS),Agadir,12.51,1,4,10,6,4,7,1,0,0,9,1,1,8900
Réseaux & Télécoms,OFPPT,Agadir,13.54,4,6,3,4,3,6,0,0,0,6,1,0,0
Développement Web,OFPPT,Tanger,10.92,3,10,7,5,4,6,1,0,0,5,0,0,0
Data Science,Faculté (FS),Kenitra,16.7,3,10,8,7,7,7,1,0,0,10,0,1,9500
Data Science,ENSA,Marrakech,10.22,4,9,5,8,5,4,1,0,0,8,1,0,0
Cybersécurité,FST,Casablanca,16.67,0,5,10,4,4,2,2,1,1,5,1,0,0
Réseaux & Télécoms,Faculté (FS),Fès,11.12,3,6,9,9,10,1,0,1,1,9,0,1,9800
GINF,Faculté (FS),Kenitra,17.09,1,8,9,7,6,2,0,0,0,10,0,0,0
GINF,EST,Marrakech,15.84,0,9,7,10,3,2,2,1,0,6,1,0,0
Développement Web,Privée (EMSI/IGA),Fès,11.32,2,4,7,9,3,2,0,0,0,10,0,1,10900
Cybersécurité,ENSA,Marrakech,14.53,2,6,10,7,9,2,2,0,0,5,1,1,11800
GI,FST,Marrakech,12.5,0,5,10,4,4,3,1,0,0,10,1,0,0
Développement Web,Faculté (FS),Agadir,11.43,1,8,6,5,7,6,0,0,1,4,0,0,0
Cybersécurité,Faculté (FS),Casablanca,16.87,2,9,3,8,3,0,1,1,1,10,1,1,9500
Réseaux & Télécoms,Faculté (FS),Marrakech,13.23,1,10,8,7,9,6,3,1,0,8,1,1,9300
Réseaux & Télécoms,EST,Tanger,13.19,4,7,6,6,4,6,1,1,0,4,1,0,0
Réseaux & Télécoms,ENSA,Fès,11.36,3,10,7,6,4,5,0,1,0,10,1,1,10900
Réseaux & Télécoms,Faculté (FS),Kenitra,13.06,0,10,4,4,3,2,1,0,0,4,0,0,0
Réseaux & Télécoms,Faculté (FS),Agadir,16.97,3,8,5,8,4,1,1,0,0,8,1,1,8900
Cybersécurité,ENSA,Fès,12.91,4,5,7,8,4,5,2,0,0,8,0,1,12200
Cybersécurité,OFPPT,Tanger,17.61,2,9,10,9,8,7,0,0,0,7,0,1,8000
Data Science,FST,Tanger,17.57,1,5,6,7,6,1,1,0,0,6,0,0,0
